In real time|People who come|People in queue(first/second)|People who left|Transported People|Gondola status
(7, 2, 14)|0|[0, 0]|2|4|status.waiting
(7, 2, 15)|1|[0, 0]|2|4|status.waiting
(7, 2, 16)|0|[0, 0]|2|4|status.waiting
(7, 2, 17)|0|[0, 0]|2|4|status.waiting
(7, 2, 18)|0|[0, 0]|2|4|status.waiting
(7, 2, 19)|0|[0, 0]|2|4|status.waiting
(7, 2, 20)|0|[0, 0]|2|4|status.waiting
(7, 2, 21)|0|[0, 0]|2|4|status.waiting
(7, 2, 22)|0|[0, 0]|2|4|status.waiting
(7, 2, 23)|0|[0, 0]|2|4|status.waiting
(7, 2, 24)|0|[0, 0]|2|4|status.waiting
(7, 2, 25)|0|[0, 0]|2|4|status.waiting
(7, 2, 26)|0|[0, 0]|2|4|status.waiting
(7, 2, 27)|0|[0, 0]|2|4|status.waiting
(7, 2, 28)|0|[0, 0]|2|4|status.waiting
(7, 2, 29)|0|[0, 0]|2|4|status.waiting
(7, 2, 30)|0|[0, 0]|2|4|status.waiting
(7, 2, 31)|0|[0, 0]|2|4|status.waiting
(7, 2, 32)|0|[0, 0]|2|4|status.waiting
(7, 2, 33)|0|[0, 0]|2|4|status.waiting
(7, 2, 34)|0|[0, 0]|2|4|status.waiting
(7, 2, 35)|0|[0, 0]|2|4|status.waiting
(7, 2, 36)|0|[0, 0]|2|4|status.waiting
(7, 2, 37)|0|[0, 0]|2|4|status.waiting
(7, 2, 38)|0|[0, 0]|2|4|status.waiting
(7, 2, 39)|0|[0, 0]|2|4|status.waiting
(7, 2, 40)|0|[0, 0]|2|4|status.waiting
(7, 2, 41)|0|[0, 0]|2|4|status.waiting
(7, 2, 42)|0|[0, 0]|2|4|status.waiting
(7, 2, 43)|0|[0, 0]|2|4|status.waiting
(7, 2, 44)|0|[0, 0]|2|4|status.waiting
(7, 2, 45)|0|[0, 0]|2|6|status.waiting
(7, 2, 46)|0|[0, 0]|2|6|status.waiting
(7, 2, 47)|0|[0, 0]|2|6|status.waiting
(7, 2, 48)|0|[0, 0]|2|6|status.waiting
(7, 2, 49)|0|[0, 0]|2|6|status.waiting
(7, 2, 50)|0|[0, 0]|2|6|status.waiting
(7, 2, 51)|0|[0, 0]|2|6|status.waiting
(7, 2, 52)|0|[0, 0]|2|6|status.waiting
(7, 2, 53)|0|[0, 0]|2|6|status.waiting
(7, 2, 54)|0|[0, 0]|2|6|status.waiting
(7, 2, 55)|0|[0, 0]|2|6|status.waiting
(7, 2, 56)|0|[0, 0]|2|6|status.waiting
(7, 2, 57)|0|[0, 0]|2|6|status.waiting
(7, 2, 58)|0|[0, 0]|2|6|status.waiting
(7, 2, 59)|0|[0, 0]|2|6|status.waiting
