Symulation time|Real time|People who come|People in queue(first/second)|People who left|Transported People
25512|(7, 5, 12)|0|[1, 0]|1|13
25513|(7, 5, 13)|0|[1, 0]|1|13
25514|(7, 5, 14)|0|[1, 0]|1|13
25515|(7, 5, 15)|0|[1, 0]|1|13
25516|(7, 5, 16)|0|[1, 0]|1|13
25517|(7, 5, 17)|0|[1, 0]|1|13
25518|(7, 5, 18)|0|[1, 0]|1|13
25519|(7, 5, 19)|0|[1, 0]|1|13
25520|(7, 5, 20)|0|[1, 0]|1|13
25521|(7, 5, 21)|0|[1, 0]|1|13
25522|(7, 5, 22)|0|[1, 0]|1|13
25523|(7, 5, 23)|0|[1, 0]|1|13
25524|(7, 5, 24)|0|[1, 0]|1|13
25525|(7, 5, 25)|0|[1, 0]|1|13
25526|(7, 5, 26)|1|[1, 1]|1|13
25527|(7, 5, 27)|0|[1, 1]|1|13
25528|(7, 5, 28)|0|[1, 1]|1|13
25529|(7, 5, 29)|0|[1, 1]|1|13
25530|(7, 5, 30)|0|[1, 1]|1|13
25531|(7, 5, 31)|0|[1, 1]|1|13
25532|(7, 5, 32)|0|[1, 1]|1|13
25533|(7, 5, 33)|0|[1, 1]|1|13
25534|(7, 5, 34)|0|[1, 1]|1|13
25535|(7, 5, 35)|0|[1, 1]|1|13
25536|(7, 5, 36)|0|[1, 1]|1|13
25537|(7, 5, 37)|0|[1, 1]|1|13
25538|(7, 5, 38)|0|[1, 1]|1|13
25539|(7, 5, 39)|0|[1, 1]|1|13
25540|(7, 5, 40)|0|[1, 1]|1|13
25541|(7, 5, 41)|0|[1, 1]|1|13
25542|(7, 5, 42)|0|[1, 1]|1|13
25543|(7, 5, 43)|1|[2, 1]|1|13
25544|(7, 5, 44)|0|[2, 1]|1|13
25545|(7, 5, 45)|0|[2, 1]|1|13
25546|(7, 5, 46)|0|[2, 1]|1|13
25547|(7, 5, 47)|0|[2, 1]|1|13
25548|(7, 5, 48)|0|[2, 1]|1|13
25549|(7, 5, 49)|0|[2, 1]|1|13
25550|(7, 5, 50)|0|[2, 1]|1|13
25551|(7, 5, 51)|0|[2, 1]|1|15
25552|(7, 5, 52)|0|[2, 1]|1|15
25553|(7, 5, 53)|0|[0, 0]|1|15
25554|(7, 5, 54)|0|[0, 0]|1|15
25555|(7, 5, 55)|0|[0, 0]|1|15
25556|(7, 5, 56)|0|[0, 0]|1|15
25557|(7, 5, 57)|1|[1, 0]|1|15
25558|(7, 5, 58)|0|[1, 0]|1|15
25559|(7, 5, 59)|0|[1, 0]|1|15
25560|(7, 6, 0)|0|[1, 0]|1|15
25561|(7, 6, 1)|0|[1, 0]|1|15
25562|(7, 6, 2)|0|[1, 0]|1|15
25563|(7, 6, 3)|0|[1, 0]|1|15
25564|(7, 6, 4)|0|[1, 0]|1|15
25565|(7, 6, 5)|0|[1, 0]|1|15
25566|(7, 6, 6)|0|[1, 0]|1|15
25567|(7, 6, 7)|0|[1, 0]|1|15
25568|(7, 6, 8)|0|[1, 0]|1|15
25569|(7, 6, 9)|0|[1, 0]|1|15
25570|(7, 6, 10)|0|[1, 0]|1|15
25571|(7, 6, 11)|0|[1, 0]|1|15
25572|(7, 6, 12)|0|[1, 0]|1|15
25573|(7, 6, 13)|0|[1, 0]|1|15
25574|(7, 6, 14)|0|[1, 0]|1|15
25575|(7, 6, 15)|0|[1, 0]|1|15
25576|(7, 6, 16)|0|[1, 0]|1|15
25577|(7, 6, 17)|0|[1, 0]|1|15
25578|(7, 6, 18)|0|[1, 0]|1|15
25579|(7, 6, 19)|0|[1, 0]|1|15
25580|(7, 6, 20)|0|[1, 0]|1|15
25581|(7, 6, 21)|0|[1, 0]|1|15
25582|(7, 6, 22)|0|[1, 0]|1|15
25583|(7, 6, 23)|0|[1, 0]|1|15
25584|(7, 6, 24)|0|[1, 0]|1|15
25585|(7, 6, 25)|0|[1, 0]|1|15
25586|(7, 6, 26)|0|[1, 0]|1|15
25587|(7, 6, 27)|0|[1, 0]|1|15
25588|(7, 6, 28)|0|[1, 0]|1|15
25589|(7, 6, 29)|0|[1, 0]|1|15
25590|(7, 6, 30)|0|[1, 0]|1|15
25591|(7, 6, 31)|0|[1, 0]|1|15
25592|(7, 6, 32)|0|[1, 0]|1|15
25593|(7, 6, 33)|0|[1, 0]|1|15
25594|(7, 6, 34)|1|[1, 1]|1|15
25595|(7, 6, 35)|0|[1, 1]|1|15
25596|(7, 6, 36)|0|[1, 1]|1|15
25597|(7, 6, 37)|0|[1, 1]|1|18
25598|(7, 6, 38)|0|[1, 1]|1|18
25599|(7, 6, 39)|0|[0, 0]|1|18
25600|(7, 6, 40)|0|[0, 0]|1|18
25601|(7, 6, 41)|0|[0, 0]|1|18
25602|(7, 6, 42)|0|[0, 0]|1|18
25603|(7, 6, 43)|0|[0, 0]|1|18
25604|(7, 6, 44)|0|[0, 0]|1|18
25605|(7, 6, 45)|0|[0, 0]|1|18
25606|(7, 6, 46)|0|[0, 0]|1|18
25607|(7, 6, 47)|0|[0, 0]|1|18
25608|(7, 6, 48)|0|[0, 0]|1|18
25609|(7, 6, 49)|0|[0, 0]|1|18
25610|(7, 6, 50)|0|[0, 0]|1|18
25611|(7, 6, 51)|0|[0, 0]|1|18
25612|(7, 6, 52)|0|[0, 0]|1|18
25613|(7, 6, 53)|0|[0, 0]|1|18
25614|(7, 6, 54)|0|[0, 0]|1|18
25615|(7, 6, 55)|0|[0, 0]|1|18
25616|(7, 6, 56)|0|[0, 0]|1|18
25617|(7, 6, 57)|1|[0, 1]|1|18
25618|(7, 6, 58)|0|[0, 1]|1|18
25619|(7, 6, 59)|0|[0, 1]|1|18
25620|(7, 7, 0)|0|[0, 1]|1|18
25621|(7, 7, 1)|0|[0, 1]|1|18
25622|(7, 7, 2)|0|[0, 1]|1|18
25623|(7, 7, 3)|0|[0, 1]|1|18
25624|(7, 7, 4)|0|[0, 1]|1|18
25625|(7, 7, 5)|0|[0, 1]|1|18
25626|(7, 7, 6)|0|[0, 1]|1|18
25627|(7, 7, 7)|0|[0, 1]|1|18
25628|(7, 7, 8)|0|[0, 1]|1|18
25629|(7, 7, 9)|0|[0, 1]|1|18
25630|(7, 7, 10)|0|[0, 1]|1|18
25631|(7, 7, 11)|0|[0, 1]|1|18
25632|(7, 7, 12)|0|[0, 1]|1|18
